Link,Standing screen display size,Screen Resolution,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Graphics Card Ram Size,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Average Battery Life (in hours)
https://www.amazon.com//Acer-A515-46-R3UB-Display-Quad-Core-Processor/dp/B09HVC79PC/ref=sr_1_1?keywords=laptop&qid=1653585547&sr=8-1,15.6 Inches,,1920 x 1080,3.5 GHz ryzen_3,4 GB DDR4,3.5 GHz,128 GB SSD,,AMD,Integrated,Bluetooth,,1,3,10 Hours
https://www.amazon.com//Lenovo-IdeaPad-Display-GeForce-82K200UTUS/dp/B09BDFTX65/ref=sr_1_2?keywords=laptop&qid=1653585547&sr=8-2,15.6,,1920 x 1080,3.3 ryzen_5,8 GB DDR4,3200 MHz,256 GB SSD,NVIDIA GeForce GTX 1650,NVIDIA,Dedicated,802.11ax,,,2,8 Hours
https://www.amazon.com//HP-Notebook-Display-3-3250U-Processor/dp/B09WX9TDM1/ref=sr_1_3?keywords=laptop&qid=1653585547&sr=8-3,14 Inches,,1920 x 1080 Pixels,2.6 GHz ryzen_3_3250u,16 GB DDR4,3.5 GHz,512 GB SSD,AMD Radeon Graphics,AMD,,"Bluetooth, 802.11a",,,,
https://www.amazon.com//ASUS-i9-11900H-ScreenPad-Celestial-UX582HS-XH99T/dp/B09LYK1WWG/ref=sr_1_4?keywords=laptop&qid=1653585547&sr=8-4,15.6 Inches,3840 x 2160 pixels,3840 x 2160 Pixels,4.9 GHz intel_core_i9,32 GB DDR4,,1 TB SSD,NVIDIA GeForce RTX 3080,NVIDIA,RTX 3080,"Bluetooth, 802.11ax",32 GB,,1,
https://www.amazon.com//HP-Touchscreen-Portable-Microsoft-14-dq0070nr/dp/B0949SGBF8/ref=sr_1_5?keywords=laptop&qid=1653585547&sr=8-5,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,2.8 GHz celeron_n4020,4 GB DDR4,,eMMC,,Intel,Integrated,"802.11a/b/g/n/ac, Bluetooth",,,,10 Hours
https://www.amazon.com//Dell-Inspiron-i7-11390H-Thunderbolt4-0-Fingerprint/dp/B09SLLC612/ref=sr_1_6?keywords=laptop&qid=1653585547&sr=8-6,15.6 Inches,1920x1080,1920 x 1080 Pixels,2.9 GHz core_i7_family,32 GB DDR4,,1 TB SSD,NVIDIA GeForce MX450,NVIDIA,Dedicated,802.11ax,2 GB,,3,
https://www.amazon.com//Lenovo-Display-Processor-Storage-82JW00BDUS/dp/B09BDGD2TZ/ref=sr_1_7?keywords=laptop&qid=1653585547&sr=8-7,15.6,1920 x 1080,1920 x 1080,3.2 ryzen_7,16 GB DDR4,,512 GB SSD,‎NVIDIA GeForce RTX 3050 Ti,NVIDIA,Dedicated,802.11ax,,,4,
https://www.amazon.com//ASUS-Display-GeForce-Keyboard-G533ZX-XS96/dp/B09RN27LHT/ref=sr_1_8?keywords=laptop&qid=1653585547&sr=8-8,15.6 Inches,2560 x 1440 pixels,2560 x 1440 Pixels,5 GHz intel_core_i9,32 GB DDR5,4800 MHz,1 TB SSD,NVIDIA GeForce RTX 3080 Ti,NVIDIA,RTX 3080 Ti,"Bluetooth, 802.11ax",16 GB,,3,
https://www.amazon.com//MSI-GL66-Gaming-Laptop-i7-11800H/dp/B09127DDVT/ref=sr_1_9?keywords=laptop&qid=1653585547&sr=8-9,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.4 GHz core_i7,16 GB DDR4,3200 MHz,512 GB SSD,NVIDIA GeForce RTX 3070,NVIDIA,Dedicated,Bluetooth,8 GB,,3,
https://www.amazon.com//Samsung-Electronics-Platform-Processor-Long-Lasting/dp/B09D8SGXB6/ref=sr_1_10?keywords=laptop&qid=1653585547&sr=8-10,15.6 Inches,,1920 x 1080 Pixels,2.8 GHz intel_core_i7_1165g7,16 GB LPDDR4,,512 GB SSD,,Intel,Integrated,"Bluetooth, 802.11ax",,3,,10 Hours
https://www.amazon.com//MSI-Stealth-15M-Gaming-Laptop/dp/B091GGZT1S/ref=sr_1_11?keywords=laptop&qid=1653585547&sr=8-11,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,3.3 GHz core_i7,16 GB DDR4,3200 MHz,512 GB SSD,NVIDIA GeForce RTX 3060,NVIDIA,Dedicated,Bluetooth,6 GB,,2,
https://www.amazon.com//ASUS-i7-1165G7-Fingerprint-Transparent-K712EA-DS76/dp/B094K27CSY/ref=sr_1_12?keywords=laptop&qid=1653585547&sr=8-12,17.3 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,4.7 GHz apple_ci7,16 GB DDR4,,1 TB SSD,Intel Iris Xe Graphics,Intel,Iris® Xe,"Bluetooth, 802.11ax",16 GB,2,2,
https://www.amazon.com//Acer-AN517-54-79L1-i7-11800H-GeForce-Display/dp/B09HJKGK5V/ref=sr_1_13?keywords=laptop&qid=1653585547&sr=8-13,17.3 Inches,1920 x 1080,1920 x 1080,4.6 GHz core_i7,16 GB DDR4,4.6 GHz,1000 GB SSD,,NVIDIA,Dedicated,"Bluetooth, 802.11ax",4 GB,,4,8 Hours
https://www.amazon.com//HP-Storage-Touchscreen-Microsoft-14-fq0050nr/dp/B08CM6Q55C/ref=sr_1_14?keywords=laptop&qid=1653585547&sr=8-14,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,2.6 GHz amd_e_series,4 GB DDR4,2400 MHz,64 GB Embedded MultiMediaCard,AMD Radeon,AMD,Integrated,"Bluetooth, 802.11a/b/g/n/ac",,,,9 Hours
https://www.amazon.com//Acer-A517-52-75N6-i7-1165G7-Graphics-Fingerprint/dp/B09JHGHF7Y/ref=sr_1_15?keywords=laptop&qid=1653585547&sr=8-15,17.3 Inches,,1920 x 1080,4.7 GHz apple_ci7,16 GB DDR4,2.8 GHz,SSD,,Intel,Integrated,Bluetooth,,1,3,8 Hours
https://www.amazon.com//HP-Storage-Touchscreen-Microsoft-14-fq0040nr/dp/B08CM17RPZ/ref=sr_1_16?keywords=laptop&qid=1653585547&sr=8-16,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,2.6 GHz amd_e_series,4 GB DDR4,2400 MHz,64 GB Embedded MultiMediaCard,AMD Radeon,AMD,Integrated,"Bluetooth, 802.11a/b/g/n/ac",,,,9 Hours
https://www.amazon.com//MSI-i7-11800H-GeForce-RTX3060-Thunberbolt4/dp/B09Y8QN96Z/ref=sr_1_10?keywords=laptop&qid=1653585551&sr=8-10,17.3 Inches,1920x1080,1920x1080 Pixels,2.3 GHz core_i7_family,64 GB DDR4,3200 MHz,2 TB SSD,Nvidia GeForce RTX 3060 6GB,NVIDIA,Dedicated,802.11ax,6 GB,,6,6 Hours
https://www.amazon.com//LG-Gram-16T90P-Lightweight-Thunderbolt/dp/B08SZ95TK4/ref=sr_1_12?keywords=laptop&qid=1653585551&sr=8-12,16 Inches,2560 x 1600 pixels,2560 x 1600 Pixels,4.7 GHz core_i7_family,2 TB LPDDR4,4266 MHz,2 TB ssd,,Intel,Integrated,802.11ax,,,3,21 Hours
https://www.amazon.com//Samsung-2-1-Touch-Screen-Chromebook/dp/B07F1BNSGB/ref=sr_1_17?keywords=laptop&qid=1653585561&sr=8-17,12.2 Inches,1920x1080,,8032,4 GB,,emmc,Intel HD Graphics 615,Intel,Integrated,802.11g,,,,
https://www.amazon.com//HP-Chromebook-14-Inch-Celeron-14a-na0020nr/dp/B08529BZSQ/ref=sr_1_18?keywords=laptop&qid=1653585561&sr=8-18,14 Inches,1366 x 768,1366 x 768 Pixels,1.1 GHz celeron_n,4 GB LPDDR4,2.6 GHz,32 GB Embedded MultiMediaCard,Intel UHD Graphics 600,Intel,Integrated,,,,,13.5 Hours
https://www.amazon.com//Lenovo-IdeaPad-Lightweight-Pentium-Windows/dp/B09P19C9Z5/ref=sr_1_19?keywords=laptop&qid=1653585561&sr=8-19,15.6,1920 x 1080,,3.4 ryzen_5_5600h,4 GB DDR4,,128 GB SSD,,AMD,Integrated,Bluetooth,,1,1,
https://www.amazon.com//Newest-HP-Laptop-1005G1-Windows/dp/B08SW8DKR7/ref=sr_1_21?keywords=laptop&qid=1653585561&sr=8-21,17.3 Inches,,,1.1 core_i3,8 GB DDR4,,HDD,,Intel,Integrated,"Bluetooth, 802.11a",,,,
https://www.amazon.com//MSI-Stealth-i9-11900H-Octa-Core-Processor/dp/B09VV8RV8S/ref=sr_1_22?keywords=laptop&qid=1653585561&sr=8-22,15.6 Inches,,2560 x 1440 Pixels,2.5 GHz intel_core_i9,DDR4,2.5 GHz,1 TB SSD,NVIDIA GeForce RTX 3070,NVIDIA,Dedicated,Bluetooth,,,,
https://www.amazon.com//Lenovo-IdeaPad-Processor-Graphics-81VU0079US/dp/B08YKHYCPW/ref=sr_1_23?keywords=laptop&qid=1653585561&sr=8-23,14,1920 x 1080 pixels,1366 x 768 Pixels,1.1 celeron_n4020,4 DDR4,,eMMC Storage,Integrated AMD Radeon R5 Graphics,Intel,Integrated,802.11ac,,,2,12 Hours
https://www.amazon.com//Dell-Chromebook-3120-Celeron-Storage/dp/B07V1W1T8S/ref=sr_1_24?keywords=laptop&qid=1653585561&sr=8-24,11.6 Inches,,1366 x 768 Pixels,1.4 GHz Celeron_2955U,4 GB DDR3,,16 GB Flash Memory Solid State,Intel HD Graphic,Intel,Integrated,Bluetooth,,1,,10 Hours
https://www.amazon.com//HP-14-inch-Celeron-Personal-14-cb185nr/dp/B084SKWC89/ref=sr_1_25?keywords=laptop&qid=1653585561&sr=8-25,14 Inches,,1366 x 768 Pixels,1.1 GHz celeron_n,4 GB SDRAM,2.6 GHz,64 GB Embedded MultiMediaCard,,Intel,Integrated,"802.11a/b/g/n/ac, Bluetooth",,1,2,10 Hours
https://www.amazon.com//Lenovo-IdeaPad-Processor-Graphics-81W0003QUS/dp/B0862269YP/ref=sr_1_26?keywords=laptop&qid=1653585561&sr=8-26,14 Inches,1920 x 1080,1920 x 1080 Pixels,2.1 GHz ryzen_5_3500u,8 GB DDR4,2400 MHz,256 GB Flash Memory Solid State,AMD Integrated Graphics,AMD,Integrated,802.11ac,,1,2,
https://www.amazon.com//Lenovo-Chromebook-Convertible-11-6-Inch-81HY0000US/dp/B07GM2J11Q/ref=sr_1_27?keywords=laptop&qid=1653585561&sr=8-27,11.6 Inches,1366x768,1366X768 Pixels,2.1 GHz mediatek_mt8127,4 GB LPDDR3,1600 MHz,64 GB Flash Memory Solid State,PowerVR SGX543,Intel,Integrated,802.11ac,,,1,10 Hours
https://www.amazon.com//Lenovo-T15g-Workstation-i9-10885H-Thunderbolt/dp/B09B28TV4Q/ref=sr_1_28?keywords=laptop&qid=1653585561&sr=8-28,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.4 GHz intel_xeon,64 GB DDR4,2933 MHz,1 TB SSD,NVIDIA GeForce RTX 2080 Super with Max-Q 8GB,NVIDIA,Dedicated,2.4 GHz Radio Frequency,,,,
https://www.amazon.com//Lenovo-Chromebook-MediaTek-Processor-81JW0000US/dp/B07GLV1VC7/ref=sr_1_29?keywords=laptop&qid=1653585561&sr=8-29,14 Inches,,1920X1080 Pixels,2.1 GHz mtk_8121,4 GB LPDDR3,1866 MHz,64 GB Flash Memory Solid State,,Intel,Integrated,802.11ac,2 MB,,1,10 Hours
https://www.amazon.com//HP-Display-i5-1135G7-i7-8500-Bluetooth/dp/B09L2DPHRV/ref=sr_1_30?keywords=laptop&qid=1653585561&sr=8-30,17.3 Inches,1920x1080,1920 x 1080 Pixels,4.2 GHz apple_ci5,8 GB DDR4,3.6 GHz,512 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,Bluetooth,,,3,6 Hours
https://www.amazon.com//Lenovo-IdeaPad-i5-1035G1-15-6-inch-Screen/dp/B08NXSJVCR/ref=sr_1_31?keywords=laptop&qid=1653585561&sr=8-31,15.6 Inches,1366x768,1366 x 768 Pixels,1 GHz core_i5_1035g1,12 GB DDR4,3.9 GHz,256 GB SSD,Intel UHD Graphics,Intel,Dedicated,802.11a,,1,1,8 Hours
https://www.amazon.com//HP-Display-i3-1115G4-Windows-Bluetooth/dp/B09LJPW1SQ/ref=sr_1_32?keywords=laptop&qid=1653585561&sr=8-32,17.3 Inches,1920x1080,1920 x 1080 Pixels,4.1 GHz core_i3_family,8 GB,4.1 GHz,256 GB SSD,Intel UHD Graphics,Intel,Integrated,Bluetooth,,,,8 Hours
https://www.amazon.com//Dell-Latitude-i7-8650U-Certified-Refurbished/dp/B07D5FRTLV/ref=sr_1_33?keywords=laptop&qid=1653585564&sr=8-33,14 Inches,1920x1080,1920 x 1080,1.9 GHz core_i7,16 GB DDR4,3.9 GHz,512 GB flash_memory_solid_state,,Intel,Intel Kabylake Graphics,Bluetooth,,,,
https://www.amazon.com//ASUS-VivoBook-i7-1165G7-Fingerprint-K513EQ-PB79/dp/B09F2VJGHJ/ref=sr_1_34?keywords=laptop&qid=1653585564&sr=8-34,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,4.7 GHz apple_ci7,16 GB DDR4,3200 MHz,512 GB SSD,NVIDIA GeForce MX350,NVIDIA,GeForce MX350,"Bluetooth, 802.11ax",2 GB,2,2,
https://www.amazon.com//ASUS-Ultra-Slim-Thunderbolt-Noise-Cancellation-UX325EA-DH51/dp/B09LXHXPNV/ref=sr_1_35?keywords=laptop&qid=1653585564&sr=8-35,13.3 Inches,2560 x 1080 pixels,1920 x 1080 Pixels,4.2 intel_core_i5_1135g7,8 GB DDR4,,256 GB SSD,,Intel,,Bluetooth,8 GB,,1,
https://www.amazon.com//MSI-Katana-GF66-Notebook-i5-11400H/dp/B09DRDJJC1/ref=sr_1_36?keywords=laptop&qid=1653585564&sr=8-36,15.6 Inches,,1920 x 1080 Pixels,4.5 GHz core_i5,8 GB DDR4,2.7 GHz,512 GB SSD,,NVIDIA,Dedicated,,,1,2,
https://www.amazon.com//LG-Gram-15Z90P-Ultra-Lightweight-Thunderbolt/dp/B0942BQLLY/ref=sr_1_37?keywords=laptop&qid=1653585564&sr=8-37,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,4.2 GHz apple_ci5,9 GB LPDDR4,4266 MHz,512 GB SSD,,Intel,Integrated,802.11ax,,,1,19.5 Hours
https://www.amazon.com//ASUS-VivoBook-Display-N4020Processor-R565MA-RB05/dp/B09X9BP45X/ref=sr_1_38?keywords=laptop&qid=1653585564&sr=8-38,15.6,1366 X 768 pixels,,2.8 GHz celeron,4 GB DDR4,2.8 GHz,1 TB HDD,,Intel,Integrated,,,2,1,
https://www.amazon.com//ASUS-Display-i9-12900H-Keyboard-G733ZW-DS94/dp/B09TPV4R9P/ref=sr_1_39?keywords=laptop&qid=1653585564&sr=8-39,17.3 Inches,,1920 x 1080 Pixels,5 GHz core_i9,16 GB DDR5,,1 TB SSD,,NVIDIA,RTX 3070 Ti,Bluetooth,,,2,
https://www.amazon.com//ASUS-VivoBook-i5-1135G7-Processor-S533EA-DH51-RD/dp/B08KGYMZRJ/ref=sr_1_40?keywords=laptop&qid=1653585564&sr=8-40,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,4.2 GHz apple_ci5,8 GB DDR4,2666 MHz,512 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,"Bluetooth, 802.11ax",8 GB,2,2,
https://www.amazon.com//Asus-Zenbook-6-Cores-Graphics-Bluetooth/dp/B097QCJZGL/ref=sr_1_41?keywords=laptop&qid=1653585564&sr=8-41,14 Inches,1920x1080,1920 x 1080 Pixels,2.1 GHz ryzen_5,8 GB LPDDR4,,256 GB SSD,NVIDIA GeForce MX450,NVIDIA,Dedicated,802.11ax,,1,2,
https://www.amazon.com//GIGABYTE-U4-UD-i7-1195G7-UD-70US823SH/dp/B09KBJSSH7/ref=sr_1_42?keywords=laptop&qid=1653585564&sr=8-42,14,,1920 x 1080,5 GHz Intel_Mobile_CPU,16 GB DDR4,,512 GB SSD,,Intel,Integrated,Bluetooth,512 MB,,3,
https://www.amazon.com//Acer-SFX14-41G-R1S6-Creator-LPDDR4X-Backlit/dp/B093TK1PXF/ref=sr_1_43?keywords=laptop&qid=1653585564&sr=8-43,14 Inches,1920 x 1080,1920 x 1080 Pixels,1.9 GHz amd_ryzen_7,16 GB LPDDR4,,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,NVIDIA,Dedicated,802.11ax,4 GB,,3,12 Hours
https://www.amazon.com//ASUS-Touchscreen-i5-1135G7-Processor-Fingerprint/dp/B09NQGCDWN/ref=sr_1_44?keywords=laptop&qid=1653585564&sr=8-44,15.6 Inches,,1920 x 1080 Pixels,2.4 GHz apple_ci5,20 GB DDR4,,512 GB SSD,Intel Iris Xe Graphics,Intel,,Bluetooth,,,,
https://www.amazon.com//Lenovo-IdeaPad-i5-1135G7-Touchscreen-Laptop/dp/B09KWGHCLK/ref=sr_1_45?keywords=laptop&qid=1653585564&sr=8-45,15.6,1920x1080,1920 x 1080 Pixels,2.4 GHz core_i5,12 GB DDR4,4.1 GHz,256 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,801.11ac,,1,2,
https://www.amazon.com//Dell-Inspiron-15-6-inch-i5-1135G7-Laptop/dp/B095RZ62BX/ref=sr_1_46?keywords=laptop&qid=1653585564&sr=8-46,15.6 Inches,1920 x 1080,1920 x 1080 Pixels,9 GHz core_i5,12 GB DDR4,,256 GB SSD,Intel Iris Xe Graphics,Intel,,Bluetooth,,,,
https://www.amazon.com//Dell-Inspiron-15-Touchscreen-i7-1165G7/dp/B09MCX6ZYN/ref=sr_1_47?keywords=laptop&qid=1653585564&sr=8-47,15.6 Inches,1920x1080,1920 x 1080 Pixels,2.8 GHz apple_ci7,16 GB DDR4,2.8 GHz,1 TB SSD,‎‎Intel Iris Xe Graphics,Intel,,Bluetooth,,,,
https://www.amazon.com//ASUS-Ultra-Slim-Graphics-NumberPad-UM425QA-EH74/dp/B09LCGRL9V/ref=sr_1_48?keywords=laptop&qid=1653585564&sr=8-48,14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,4.4 GHz amd_ryzen_7_5800h,16 GB DDR4,,1 TB SSD,,AMD,,Infrared,,,3,
https://www.amazon.com//Lenovo-ThinkPad-i7-1165G7-Fingerprint-Professional/dp/B09WJK4998/ref=sr_1_49?keywords=laptop&qid=1653585567&sr=8-49,15.6 Inches,,1920 x 1080 Pixels,2.8 GHz apple_ci7,32 GB DDR4,2.8 GHz,1 TB SSD,Intel Iris Xe Graphics,Intel,,Bluetooth,,,,
https://www.amazon.com//Samsung-Chromebook-Plus-Camera-Chrome/dp/B07J1SY5QQ/ref=sr_1_50?keywords=laptop&qid=1653585567&sr=8-50,12.2 Inches,,1900*1200 Pixels,1.5 GHz celeron,4 GB LPDDR3,,32 GB flash memory solid state,Intel HD Graphics 615,Intel,Integrated,802.11ac,,1,1,
https://www.amazon.com//GIGABYTE-AERO-17-HDR-XD-73US524SP/dp/B093Z1PWCF/ref=sr_1_51?keywords=laptop&qid=1653585567&sr=8-51,17.3 Inches,,3840 x 2160,4.6 GHz Intel_Mobile_CPU,16 GB DDR4,4.6 GHz,1 TB SSD,NVIDIA GeForce RTX 3070,NVIDIA,Dedicated,,8 GB,,3,
https://www.amazon.com//ConceptD-CC314-72G-72SX-Convertible-i7-10750H-Validated/dp/B0891RM7DM/ref=sr_1_53?keywords=laptop&qid=1653585567&sr=8-53,14 Inches,,1920 x 1080 Pixels,5 GHz apple_ci7,16 GB DDR4,2.6 GHz,512 GB flash memory solid state,NVIDIA GeForce GTX 1650,NVIDIA,Dedicated,802.11ax,4 GB,,3,14 Hours
https://www.amazon.com//GIGABYTE-AORUS-17G-Anti-Glare-YD-73US345SH/dp/B0996812KP/ref=sr_1_54?keywords=laptop&qid=1653585567&sr=8-54,17.3 Inches,,1920 x 1080,4.6 GHz Intel_Mobile_CPU,32 GB DDR4,4.6 GHz,512 GB SSD,,NVIDIA,Dedicated,,8 GB,,3,
https://www.amazon.com//Alienware-3070-Gaming-Laptop-Full/dp/B08XDX7CW8/ref=sr_1_55?keywords=laptop&qid=1653585567&sr=8-55,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.2 GHz core_i7,16 GB DDR4,2933 MHz,1 TB SSD,NVIDIA GeForce RTX 3070,NVIDIA,NVIDIA RTX3070,Bluetooth,8 GB,,3,
https://www.amazon.com//MSI-Raider-GE66-i9-12900HK-RTX3070TI/dp/B09RBB6JD6/ref=sr_1_56?keywords=laptop&qid=1653585567&sr=8-56,15.6 Inches,,2560x1440 Pixels,1.8 GHz core_i9,32 GB DDR5,4800 MHz,SSD,,NVIDIA,Dedicated,Bluetooth,8 GB,,4,
https://www.amazon.com//ROG-Zephyrus-G14-White-Tikbot-Accessories/dp/B098TC93DL/ref=sr_1_57?keywords=laptop&qid=1653585567&sr=8-57,14 Inches,,1920 x 1080 Pixels,3.1 GHz ryzen_9,16 GB DDR4,3200 MHz,1 TB SSD,NVIDIA GeForce RTX3060 Max-Q,NVIDIA,Dedicated,Bluetooth,,,,
https://www.amazon.com//MSI-Raider-GE66-i7-12700H-RTX3070TI/dp/B09RB9Z4Z2/ref=sr_1_60?keywords=laptop&qid=1653585567&sr=8-60,15.6 Inches,,2560x1440 Pixels,1.7 GHz core_i7,,4800 MHz,SSD,,NVIDIA,Dedicated,Bluetooth,8 GB,,4,
https://www.amazon.com//ASUS-Display-R9-5900HX-Keyboard-G513QR-ES96/dp/B08SJTW9LK/ref=sr_1_61?keywords=laptop&qid=1653585567&sr=8-61,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,4.5 GHz ryzen_9,16 GB DDR4,3200 MHz,1 TB,NVIDIA GeForce RTX 3070,NVIDIA,GeForce RTX 3070,"Bluetooth, 802.11ax",8 GB,,4,
